DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobLevel,OverTime,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,WorkLifeBalance,YearsAtCompany,AnnualSalary,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative
1102,1,2,2,0,2,0,11,1,0,1,6,195520,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False
279,8,1,3,1,2,1,23,4,1,3,10,126880,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
1373,2,2,4,1,1,0,15,2,0,3,0,191360,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False
1392,3,4,4,0,1,0,11,3,0,3,8,116480,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
591,2,1,1,1,1,1,12,4,1,3,2,83200,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False
1005,2,2,4,1,1,1,13,3,0,2,7,164320,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False
1324,3,3,3,0,1,0,20,1,3,2,1,168480,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False
1358,24,1,4,1,1,1,22,2,1,3,1,139360,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False
216,23,3,4,1,3,1,21,2,0,3,9,91520,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
1299,27,3,3,1,2,1,13,2,2,2,7,195520,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
809,16,3,1,1,1,1,13,3,1,3,5,174720,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False
153,15,2,4,0,2,0,12,4,0,3,9,101920,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False
670,26,1,1,1,1,1,17,4,1,2,5,64480,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
1346,19,2,2,1,1,1,11,3,1,3,2,193440,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False
103,24,3,3,1,1,0,14,2,0,3,4,104000,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False
1389,21,4,2,0,3,1,11,3,1,3,10,106080,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
334,5,2,1,1,1,0,12,4,2,2,6,166400,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
1123,16,2,4,1,1,0,13,2,2,2,1,199680,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False
1219,2,4,1,0,4,1,16,3,0,3,25,162240,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False
371,2,3,4,1,1,0,11,3,0,3,3,93600,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
673,11,2,1,0,2,1,18,4,1,2,4,199680,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
1218,9,4,3,1,1,1,23,2,0,3,5,170560,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True
419,7,4,1,0,3,1,11,3,0,3,12,110240,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
391,15,2,3,1,1,1,14,4,0,3,0,199680,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
699,6,1,2,1,1,1,11,3,0,3,4,172640,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
1282,5,3,3,0,5,1,11,4,1,2,14,120640,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
1125,16,1,2,0,1,0,22,2,0,3,10,149760,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
691,8,4,3,1,2,1,11,4,1,3,9,99840,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
477,7,4,1,0,3,1,14,4,1,3,22,87360,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
705,2,4,2,0,5,1,12,4,0,2,2,172640,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
924,2,3,3,1,1,1,11,4,0,3,1,162240,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False
1459,10,4,4,1,2,0,13,4,0,4,4,85280,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
125,9,2,4,1,1,1,13,1,0,3,10,172640,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False
895,5,3,4,1,2,1,14,3,1,4,1,116480,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
813,1,3,2,1,1,0,16,1,1,2,2,126880,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
1273,2,2,4,0,1,1,12,4,2,2,5,149760,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
869,3,2,1,1,1,0,14,3,0,3,3,178880,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True
890,2,3,4,0,1,1,13,1,0,3,2,201760,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True
852,5,4,2,0,1,0,14,4,1,4,1,170560,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
1141,1,3,3,0,2,1,19,1,2,3,5,87360,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False
464,4,2,3,1,1,1,12,3,1,3,1,156000,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False
1240,2,4,4,0,1,1,13,4,1,3,1,68640,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False
1357,25,3,1,1,1,1,12,3,0,2,1,99840,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False
994,8,3,4,1,3,1,15,4,0,3,9,76960,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False
721,1,2,3,0,2,1,23,4,0,3,12,120640,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False
1360,12,3,2,0,5,1,12,4,0,3,22,101920,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
1065,23,4,2,1,2,1,20,3,0,3,9,149760,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
408,19,2,2,1,1,1,21,1,0,3,1,151840,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
1211,5,4,1,1,2,0,21,3,0,3,9,203840,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
1229,8,1,4,1,1,1,19,4,0,3,1,74880,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False
626,1,2,1,1,3,0,13,4,0,3,1,203840,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False
1434,5,4,3,1,1,0,13,3,0,2,2,104000,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False
1488,1,5,2,0,2,0,21,3,1,2,4,156000,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
1097,11,2,3,1,3,0,13,3,1,3,4,164320,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1443,23,3,3,0,2,0,19,3,1,2,2,97760,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
515,1,2,1,0,3,0,12,3,0,3,15,203840,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
853,18,5,2,1,3,1,22,4,1,2,9,147680,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False
1142,23,4,3,0,1,0,15,3,1,3,2,62400,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False
655,7,4,4,1,2,1,22,4,1,2,7,99840,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False
1115,1,4,1,1,2,1,18,3,1,4,7,106080,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
427,1,3,1,1,2,0,22,2,1,3,9,68640,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
653,29,5,4,0,2,1,11,4,0,3,10,104000,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False
989,7,2,2,0,5,0,12,4,1,2,27,89440,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
1435,25,3,1,0,3,1,11,4,0,2,21,205920,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False
1223,8,3,3,0,3,1,13,2,3,3,17,122720,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
836,8,3,4,0,4,0,14,3,3,3,5,68640,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
1195,11,3,2,1,2,1,13,3,0,3,6,197600,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
1339,7,3,2,1,3,1,17,3,1,3,1,122720,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
664,1,3,2,1,1,1,13,4,1,2,3,164320,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
